number of query genes: 152
hit	support	identity	queries
NCU06467-t26_1 (hypothetical protein)	24	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09937-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU09954-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU09848-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU07760-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU09337-t26_1 (plasma membrane fusion protein prm-1)	22	query	NCU04645-t26_1, NCU05648-t26_1, NCU07582-t26_1, NCU02246-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU09954-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU09848-t26_1, NCU02613-t26_1, NCU05798-t26_1, NCU09955-t26_1, NCU12068-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU08839-t26_1, NCU04122-t26_1
NCU04122-t26_1 (tricarboxylic acid-18)	20	query	NCU04645-t26_1, NCU03132-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU05681-t26_1, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU09848-t26_1, NCU09193-t26_1, NCU05834-t26_1, NCU05798-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU08433-t26_1, NCU06140-t26_1, NCU03863-t26_1
NCU01158-t26_2 (hypothetical protein, variant 1)	20	new	NCU01789-t26_2, NCU01789-t26_1, NCU05648-t26_1, NCU03132-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU09954-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU09193-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU08839-t26_1, NCU02988-t26_1, NCU04122-t26_1
NCU01158-t26_1 (hypothetical protein)	20	new	NCU01789-t26_2, NCU01789-t26_1, NCU05648-t26_1, NCU03132-t26_1, NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU09954-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU09193-t26_1, NCU12022-t26_1, NCU11172-t26_1, NCU06140-t26_1, NCU08839-t26_1, NCU02988-t26_1, NCU04122-t26_1
NCU11172-t26_1 (hypothetical protein)	20	query	NCU09712-t26_1, NCU09712-t26_2, NCU01382-t26_1, NCU09337-t26_1, NCU01697-t26_1, NCU10610-t26_1, NCU05712-t26_1, NCU01098-t26_1, NCU05629-t26_1, NCU09193-t26_1, NCU05834-t26_1, NCU12068-t26_1, NCU12067-t26_1, NCU12022-t26_1, NCU08433-t26_1, NCU06140-t26_1, NCU08839-t26_1, NCU07760-t26_1, NCU04496-t26_1, NCU04122-t26_1
NCU09847-t26_2 (hypothetical protein, variant 1)	19	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09337-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU09848-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU06140-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU09847-t26_1 (hypothetical protein)	19	new	NCU04645-t26_1, NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09337-t26_1, NCU10610-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU09848-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU06140-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU06277-t26_1 (microtubule associated protein)	19	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU05681-t26_1, NCU01382-t26_1, NCU09337-t26_1, NCU10610-t26_1, NCU09245-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU06140-t26_1, NCU00821-t26_1, NCU04122-t26_1
NCU03132-t26_1 (hypothetical protein)	18	query	NCU04645-t26_1, NCU02110-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00881-t26_1, NCU00881-t26_2, NCU00938-t26_1, NCU04732-t26_1, NCU07191-t26_1, NCU02811-t26_1, NCU05648-t26_1, NCU09307-t26_1, NCU03035-t26_1, NCU00321-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU02988-t26_1, NCU04122-t26_1
